Smiles,Standard Value
Clc1[nH]c2c(cc(OC)cc2)c1\C=C\1/c2cc(OC)c(cc2NC/1=O)C,0
Clc1[nH]c2c(cccc2)c1\C=C\1/c2cc(OC)c(cc2NC/1=O)C,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2CC([NH2+]C(C2)C)C)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2CC([NH2+]CC2)(C)C)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2CC[NH+](CC2)C)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2CC[NH+](CC2)CCO)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2CC[NH2+]CC2)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2C[C@@H]([NH2+]CC2)C)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(N2C[C@H]([NH2+]CC2)C)cc1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(cc1)C1CC[NH2+]CC1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1ncc(nc1)N1CC[NH2+]CC1,0
Clc1[nH]nc(C(C)C)c1-c1nc(ncc1)Nc1nnc(N2CC[NH2+]CC2)cc1,0
Clc1c(cc2c([nH]nc2NC(=O)CCC)c1F)-c1ccccc1,0
Clc1c(cccc1OC(C#N)(C)C)C(=O)Nc1cc(N(C)c2nc3sc(nc3cc2)NC(=O)C2CC2)ccc1F,0
Clc1c2[nH]c-3c(CC(=O)Nc4c-3cccc4)c2ccc1,0
Clc1c2[nH]c3c(c2ccc1)ccc1cc([nH]c13)C(OCC)=O,0
Clc1c2c([nH]c(O)c2C2=Nc3c(cccc3)C2=O)ccc1,0
Clc1c\2c(NC(=O)/C/2=N\Nc2ccc(S(=O)(=O)N)cc2)ccc1C,1
Clc1c\2c(NC(=O)/C/2=N\Nc2ccc(S(=O)(=O)N)cc2)ccc1OC,0
Clc1cc(C(=O)NCCCO)c(O)cc1,0
Clc1cc(C(=O)c2cnc(nc2N)NC2CCN(S(=O)(=O)C)CC2)c(OC)cc1,1
Clc1cc(CNc2nc(nc3n(cnc23)C2CCCC2)NC2CCC([NH3+])CC2)c(O)cc1,1
Clc1cc(C[NH+](CCO)CCO)c(O)c2ncccc12,0
Clc1cc(Cl)c(Cl)cc1S(=O)(=O)Nc1cc(ccc1)C(F)(F)F,1
Clc1cc(Cl)cc(Cl)c1-n1nc(SC)c2c1N=C(NC2=O)C,0
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(C)c(OC)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(N)ccc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(O)c(O)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(O)c(OC)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(O)c(cc1)C)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(O)ccc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(OC)c(O)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cc(OC)ccc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(N)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(NC(=O)C)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(NC(=O)CNC(OC(C)(C)C)=O)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(O)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(OC)cc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccccc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1cccnc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccncc1)CC,1
Clc1cc(Cl)cc(Cl)c1-n1nc(c2c1nc(nc2O)Cc1ccc(NC(=O)C[NH3+])cc1)CC,1
Clc1cc(Cl)cc2[nH]c-3c(CC(=O)Nc4c-3cccc4)c12,0
Clc1cc(Cl)ccc1-c1nc(ncc1-c1[nH]cc(n1)C)NCCNc1ncc(cc1)C#N,0
Clc1cc(Cl)ccc1-c1nc(ncc1-c1[nH]ccn1)NCCNc1nc(N)c([N+](=O)[O-])cc1,0
Clc1cc(Cl)ccc1-c1nc(ncc1-n1ccnc1)NCCNc1nc(N)c([N+](=O)[O-])cc1,0
Clc1cc(Cl)ccc1C1=C(c2c3c(n(c2)C)cccc3)C(=O)NC1=O,1
Clc1cc(Cl)ccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2C=1CC[NH+](CC=1)C,0
Clc1cc(Cl)ccc1Nc1nc(nc2n(cnc12)C(C)C)NCCO,0
Clc1cc(F)c(C(=O)c2c[nH]c-3nncc-3c2OCCCC)c(F)c1,1
Clc1cc(NC(SCCO)=S)ccc1Cl,0
Clc1cc(NC2=C(c3ccccc3[N+](=O)[O-])C(=O)NC2=O)ccc1O,1
Clc1cc(NS(=O)(=O)c2cc(Cl)ccc2C)ccc1Cl,1
Clc1cc(Nc2[nH]cnc-3nnc(NCc4ccccc4)c2-3)ccc1,0
Clc1cc(Nc2[nH]cnc-3nnc(c2-3)-c2ccccc2)ccc1,0
Clc1cc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)ccc1,0
Clc1cc(Nc2nc(Nc3cc4nc[nH]c4cc3)c(cn2)C(F)(F)F)ccc1,1
Clc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc(Cl)c1,0
Clc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)ccc1,0
Clc1cc(Nc2nc(ccn2)-c2cc(ncc2)N2CCOCC2)ccc1,1
Clc1cc(Nc2nc(ccn2)-c2cc(ncc2)NCCCO)ccc1,1
Clc1cc(Nc2nc(cnc2)-c2cc(ncc2)NCCCO)ccc1,1
Clc1cc(Nc2nc(cnc2)-c2ccncc2NCCCO)ccc1,0
Clc1cc(Nc2nc(cnc2)-c2sc(nc2)NCCCO)ccc1,0
Clc1cc(Nc2nc(nc(n2)N)-c2cc(ncc2)NCCCO)ccc1,0
Clc1cc(Nc2nc(nc3n(C(C)C)c(Cl)nc23)NC(C(C)C)CO)ccc1,0
Clc1cc(Nc2nc(nc3n(C(C)C)c(nc23)C)NC2CCC([NH3+])CC2)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)C#CC(O)(CC)C)ccc1,1
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)C#CC(O)(CC)C)ccc1Cl,1
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N(CCCO)CCO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N(CCO)CCO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N(Cc2ccccc2)CCO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N(Cc2ccccc2)CC[NH+](C)C)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)CC)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)CC2CCCCC2)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)Cc2cc(F)ccc2)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)Cc2ccc(F)cc2)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)Cc2ccc(cc2)C)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N([C@H](C(C)C)CO)Cc2ccccc2)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N2CCCCC2CCO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N2CCC[C@@H]2CO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)N2CCC[C@@H]2CO)ccc1Cl,1
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NC2(CCCC2)CO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NC2CCC([NH3+])CC2)ccc1,1
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NC2c3c(C[C@@H]2O)cccc3)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NC2c3c(C[C@H]2O)cccc3)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NCCCO)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NCCO)ccc1F,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NCC[NH+](C)C)ccc1,0
Clc1cc(Nc2nc(nc3n(cnc23)C(C)C)NCc2ccccc2C(F)(F)F)ccc1,0
